Evento,Tiempo_Beat_s,Tiempo_Tap_s,Asincronia_ms
Beat_Sin_Respuesta,0.07,,
Beat_Sin_Respuesta,0.72,,
Beat_Sin_Respuesta,0.906,,
Beat_Sin_Respuesta,1.126,,
Beat_Sin_Respuesta,1.312,,
Beat_Sin_Respuesta,1.509,,
Beat_Sin_Respuesta,1.556,,
Beat_Sin_Respuesta,1.753,,
Beat_Sin_Respuesta,1.997,,
Beat_Sin_Respuesta,2.101,,
Beat_Sin_Respuesta,2.276,,
Beat_Sin_Respuesta,2.45,,
Beat_Sin_Respuesta,2.647,,
Beat_Sin_Respuesta,2.879,,
Beat_Sin_Respuesta,3.111,,
Beat_Sin_Respuesta,3.309,,
Beat_Sin_Respuesta,4.563,,
Beat_Sin_Respuesta,4.644,,
Beat_Sin_Respuesta,4.795,,
Beat_Sin_Respuesta,7.964,,
Beat_Sin_Respuesta,8.359,,
Beat_Sin_Respuesta,8.731,,
Beat_Sin_Respuesta,9.114,,
Beat_Sin_Respuesta,9.474,,
Beat_Sin_Respuesta,9.88,,
Beat_Sin_Respuesta,10.252,,
Beat_Sin_Respuesta,10.623,,
Beat_Sin_Respuesta,11.006,,
Beat_Sin_Respuesta,11.366,,
Beat_Sin_Respuesta,11.749,,
Beat_Sin_Respuesta,12.109,,
Beat_Sin_Respuesta,12.504,,
Beat_Sin_Respuesta,12.841,,
Beat_Sin_Respuesta,13.259,,
Beat_Sin_Respuesta,13.63,,
Beat_Sin_Respuesta,14.002,,
Beat_Sin_Respuesta,14.373,,
Beat_Sin_Respuesta,14.756,,
Beat_Sin_Respuesta,15.128,,
Beat_Sin_Respuesta,15.499,,
Beat_Sin_Respuesta,15.882,,
Beat_Sin_Respuesta,16.254,,
Beat_Sin_Respuesta,16.637,,
Beat_Sin_Respuesta,17.009,,
Beat_Sin_Respuesta,17.369,,
Beat_Sin_Respuesta,17.752,,
Beat_Sin_Respuesta,18.135,,
Beat_Sin_Respuesta,18.483,,
Beat_Sin_Respuesta,18.878,,
Beat_Sin_Respuesta,19.261,,
Beat_Sin_Respuesta,19.609,,
Beat_Sin_Respuesta,20.016,,
Beat_Sin_Respuesta,20.352,,
Beat_Sin_Respuesta,20.759,,
Beat_Sin_Respuesta,21.142,,
Beat_Sin_Respuesta,21.513,,
Beat_Sin_Respuesta,21.885,,
Beat_Sin_Respuesta,22.256,,
Beat_Sin_Respuesta,22.628,,
Beat_Sin_Respuesta,23.011,,
Beat_Sin_Respuesta,23.382,,
Beat_Sin_Respuesta,23.754,,
Beat_Sin_Respuesta,24.137,,
Beat_Sin_Respuesta,24.497,,
Beat_Sin_Respuesta,24.869,,
Beat_Sin_Respuesta,25.263,,
Beat_Sin_Respuesta,25.623,,
Beat_Sin_Respuesta,26.006,,
Beat_Sin_Respuesta,26.378,,
Beat_Sin_Respuesta,26.749,,
Beat_Sin_Respuesta,27.109,,
Beat_Sin_Respuesta,27.516,,
Beat_Sin_Respuesta,27.876,,
Beat_Sin_Respuesta,28.259,,
Beat_Sin_Respuesta,28.619,,
Beat_Sin_Respuesta,29.002,,
Beat_Sin_Respuesta,29.362,,
Beat_Sin_Respuesta,29.408,,
Beat_Sin_Respuesta,29.756,,
Beat_Sin_Respuesta,30.128,,
Beat_Sin_Respuesta,30.499,,
Beat_Sin_Respuesta,30.871,,
Beat_Sin_Respuesta,31.266,,
Beat_Sin_Respuesta,31.637,,
Beat_Sin_Respuesta,32.009,,
Beat_Sin_Respuesta,32.403,,
Beat_Sin_Respuesta,32.729,,
Beat_Sin_Respuesta,33.146,,
Beat_Sin_Respuesta,33.518,,
Beat_Sin_Respuesta,33.901,,
Beat_Sin_Respuesta,34.284,,
Beat_Sin_Respuesta,34.656,,
Beat_Sin_Respuesta,35.027,,
Beat_Sin_Respuesta,35.399,,
Beat_Sin_Respuesta,35.782,,
Beat_Sin_Respuesta,36.142,,
Beat_Sin_Respuesta,36.525,,
Beat_Sin_Respuesta,36.908,,
Beat_Sin_Respuesta,37.245,,
Beat_Sin_Respuesta,37.663,,
Beat_Sin_Respuesta,38.034,,
Beat_Sin_Respuesta,38.406,,
Beat_Sin_Respuesta,38.777,,
Beat_Sin_Respuesta,39.16,,
Beat_Sin_Respuesta,39.52,,
Beat_Sin_Respuesta,39.88,,
Beat_Sin_Respuesta,40.263,,
Beat_Sin_Respuesta,40.647,,
Beat_Sin_Respuesta,41.018,,
Beat_Sin_Respuesta,41.401,,
